ID,JMS_TIME,CREATED,UPDATED,BATCH_ID,ENTITY,GROUP,STATUS,STATUS_CODE_DYNAMICS,SOURCE_SYSTEM,LEGAL_ENTITY,EXEC_ID
116939,1.66E+12,9/5/2022 8:40,9/5/2022 8:42,B-78189bd3-d60d-4d39-b442-8a9cdac83fc0,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T08:40:16-B9E357359978426398162EC0A5143599
116940,1.66E+12,9/5/2022 8:42,9/5/2022 8:44,B-ab45cbe5-d152-4a7d-b8bb-608a3221d1cd,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T08:42:16-669286C0520047029FAA655620194220
116945,1.66E+12,9/5/2022 8:50,9/5/2022 8:52,B-591225c9-037e-48f8-8790-ec51142baaa3,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T08:50:16-4547F72B45F94BCC86F4A778368DB2FF
116948,1.66E+12,9/5/2022 8:54,9/5/2022 8:56,B-c6ad82c1-2c22-4f79-98e5-80882b3ab382,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T08:54:16-DE745C9444D84CCABB0A45431B743F96
116951,1.66E+12,9/5/2022 8:57,9/5/2022 9:00,B-302f8823-0dd5-4c40-b8ce-2f537fc5ab28,ORDER,ORDERCUST,SUCCESS,NULL,BLOCKET_JB,1001,ORDER-BLOCKET_JB-2022-09-05T08:58:31-27521BEA33E143048920DDD11C8B8908
116953,1.66E+12,9/5/2022 9:00,9/5/2022 9:02,B-051d037f-2323-4fa7-936c-59ac12e0abc8,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:00:16-06250D22767E4279B0399233C3E3A7C8
116954,1.66E+12,9/5/2022 9:02,9/5/2022 9:03,B-58bf5b83-8a64-459e-820a-32cb28884699,ORDER,ORDERCUST,SUCCESS,NULL,BOOST,1068,ORDER-BOOST-2022-09-05T09:02:17-07A8DF59B0FB4D5686741E4535D8E1F1
116955,1.66E+12,9/5/2022 9:02,9/5/2022 9:04,B-ef033f6d-0782-4096-b0ce-76cf37660277,ORDER,ORDERCUST,SUCCESS,NULL,BOOST,1068,ORDER-BOOST-2022-09-05T09:03:46-F050D29DAD7046EF9E43E066B7AE1C06
116959,1.66E+12,9/5/2022 9:06,9/5/2022 9:08,B-9d684046-5893-4704-9e51-72a0d24ed7a3,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:06:16-C8B8DD99DA2C41BEA785B8C4CC55BF7F
116960,1.66E+12,9/5/2022 9:09,9/5/2022 9:11,B-bcee086c-d810-4f26-9144-8f7c1e1a82ab,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T09:09:46-9808A67692C94720B7793934E6649D64
116961,1.66E+12,9/5/2022 9:10,9/5/2022 9:12,B-1deb8d1f-9873-4d57-80e6-198959a62557,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:10:16-754ECDA1B7104065A8E6162EC38F9AF1
116965,1.66E+12,9/5/2022 9:16,9/5/2022 9:18,B-9d9202b9-285b-472f-8b9e-7e21ef0a4c2f,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:16:16-49DB5DACE7F74B3ABBF531867A508B7C
116968,1.66E+12,9/5/2022 9:18,9/5/2022 9:21,B-28598b74-8c7a-425f-a021-b1160d5a3d24,ORDER,ORDERCUST,SUCCESS,NULL,BLOCKET_JB,1001,ORDER-BLOCKET_JB-2022-09-05T09:19:47-3652F12A23F9463CA8662B1435A8EEA3
116969,1.66E+12,9/5/2022 9:22,9/5/2022 9:24,B-d8f2d961-b28d-44ab-b5e0-38a45d56c86b,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:22:16-14E636132BE846D480BCB13E9DA4CF2B
116973,1.66E+12,9/5/2022 9:26,9/5/2022 9:28,B-dbf7580d-245b-49e6-a427-1f860008eab7,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:26:16-59867C5D09DF4D30882DE5F46FB6D642
116975,1.66E+12,9/5/2022 9:30,9/5/2022 9:31,B-534b3050-ec0c-47a3-8606-8d6030b9799a,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T09:30:16-97313424CC8B4089B4316C771C556C7C
116976,1.66E+12,9/5/2022 9:32,9/5/2022 9:34,B-68899c2e-864d-43e3-ad29-e9f431acc5a3,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:32:17-D5DAD282351E4800949EBF65D6876AA1
116979,1.66E+12,9/5/2022 9:35,9/5/2022 9:38,B-4ce2579a-75f2-4498-85a6-97a2c35e178f,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T09:37:01-1DB4C822AD344E80971FA237DB8492D7
116981,1.66E+12,9/5/2022 9:36,9/5/2022 9:38,B-5710dced-3528-4f40-8f36-b475dfe8be8f,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:36:16-0D70B94425EB43A5804F76A2326CAC2D
116983,1.66E+12,9/5/2022 9:40,9/5/2022 9:41,B-09505669-2e06-429e-a16e-8cd7351eb221,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T09:40:21-EEECFA1EF32246029A472B7C84B5BBF6
116984,1.66E+12,9/5/2022 9:42,9/5/2022 9:44,B-ff2ceaa9-1b04-4778-846b-abb06a342ec6,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:42:16-BDD65BE7EDAD4B0FBD2580124ED45BD1
116985,1.66E+12,9/5/2022 9:42,9/5/2022 9:43,B-b9a2b8e4-dba2-4ebd-9d7f-bc4999ca45b7,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T09:42:21-464FB1DC44D64BAFA1880898AB49C514
